Species,SocialMatingSystem,Monopolization,FemalesPerMaleInBreedingGroup,MalesPerBreedingGroup,SocialGroupSize,MaleBodyMass(SSDDataset).in.g,FemaleBodyMass(SSDDataset).in.g,SexualSizeDimorphism,MaleCanineHeight.in.mm,FemaleCanineHeight.in.mm,SexualCanineDimorphism,MaleBodyMass(CanineDataset).in.g,CombinedTestesMass.in.g,MaleBodyMass(TestesDataset).in.g,meanMaleBodyMass.in.g,HeadFlesh,HeadSkin,HeadHair,BodyFlesh,BodySkin,BodyHair,BodyPelageDichrom,GenitalFlesh,GenitalSkin,GenitalHair,SexualOrnamentDimorphism (ExcludingDichromatism),SexualOrnamentDimorphism,TotalOrnamentDimorphism(PreviouslyPublished),OrnamentDescription,CladeForMale-specificOrnamentation,Intra-cladeDavid'sScoreMale-specificOrnamentation,References,Comments
Pygathrix nemaeus,Multimale,No,,,15.8,11000,8440,1.303,16.06,7.62,2.108,11000,8.4,18560,13520,0,0,0,0,0,0,0,0,1,0,1,1,3,Penis is pink and pubic area reddish (3),,,4-Feb,
Rhinopithecus avunculus,Polygynous,Yes,,,80,,,1.65,17.5,8.8,1.989,14025,,,14025,0,0,1,0,0,1,0,0,0,1,3,3,5,Male body fur slightly fuller (1); a hint of light blue in male testes (1); Longer corkscrew hair on male tail (1); male has a more fully developed ruff around face (2),,,"2, 24",
Rhinopithecus roxellana,Polygynous OR Multimale,Yes OR No,,,215,17900,11600,1.543,20.06,8,2.508,17900,,,17900,0,1,0,0,0,1,0,0,0,0,2,2,8,"Adult male has large, striking ëlip-wartsí on upper lip at mouth corners; these are rudimentary/ lacking in adult females (5). Male has longer hair on shoulders than female (3)",,,4-Feb,
Saguinus fuscicollis,Monogamous,No,,1.9,6,343,358,0.958,5.66,5.58,1.014,343,1.53,400,362,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-4, 6, 8, 12",
Saguinus midas,Polyandrous,No,,,5.8,515,575,0.897,5.37,5.42,0.991,520,1.83,570,535,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5-Jan,
Saguinus oedipus,Polyandrous,No,,2,6,418,404,1.035,5.65,5.65,1,418,3.4,520,452,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-6, 8",
Saimiri boliviensis,Multimale,No,2.6,,60,911,711,1.281,6.65,4.12,1.614,911,,1020,947,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"3, 4, 6, 13, 26","Ornamentation changed to 0 compared to Grueter et al. (2015), see supplementary description for justification"
Saimiri oerstedii,Multimale,No,,10,50,897,680,1.319,7.38,4.5,1.64,897,,,897,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"3, 8, 13, 15","Ornamentation changed to 0 compared to Grueter et al. (2015), see supplementary description for justification"
Saimiri sciureus,Multimale,No,,7,32.5,779,662,1.177,7.1,5.02,1.414,779,3.2,780,779,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"3, 5, 8, 13, 15","Ornamentation changed to 0 compared to Grueter et al. (2015), see supplementary description for justification"
Semnopithecus entellus,Multimale,No,3,6,20.6,13000,9890,1.314,18.44,10.83,1.703,13000,11.1,17000,14333,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-5, 8",
Symphalangus syndactylus,Monogamous,No,1,,3.6,11900,10700,1.112,21.45,18.04,1.189,11900,11.95,12270,12023,0,0,0,0,0,0,0,0,0,1,1,1,3.5,"Male has a long, prominent black preputial tuft, resembling a short tail (score 3.5).",Hylobatidae,6.083,"1-4, 12",
Theropithecus gelada,Polygynous,No,3.7,1,156.2,19000,11700,1.624,39.62,12.27,3.229,19000,19.3,20400,19467,0,0,1,0,1,1,0,0,0,0,3,3,13,"Male has long cape of shoulder hair, lacking in female (5). Male has long hair on top and sides of head, lacking in female (5). Male has an hourglass-shaped patch of red chest skin; femaleís chest patch is morphologically different, with a fringe of small whitish vesicles (3)",Papionini,13.714,8-Feb,
Trachypithecus cristatus,Polygynous,Yes,,,26,6610,5760,1.148,18.57,10.94,1.697,6610,6.3,7000,6740,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"1-4, 27",
Trachypithecus francoisi,Polygynous,Yes,,,8.7,7700,7350,1.048,17.91,10.42,1.719,7700,3.98,7450,7617,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-4, 18",
Trachypithecus obscurus,Multimale,No,,,17,7900,6260,1.262,15.44,8.51,1.814,7330,5.82,7390,7540,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-4, 28",
Trachypithecus pileatus,Polygynous,Yes,,,8.1,12000,9860,1.217,19.85,10.52,1.887,12000,,,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4-Feb,
Trachypithecus vetulus,Polygynous,Yes,,,12,8170,5900,1.385,16.96,9.34,1.816,8170,,,8170,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4-Feb,
