Species,Female body mass (g),Sexual size dimorphism,Home range size (km2) ,Gestation length (d),Litter size,% leaves in natural diet,Substrate use,Malagasy origin (yes.no),Mid-latitude,Latitude range,Mean temperature (°),Mean precipitation (mm),Seasonality natural habitat,Seasonality natural habitat_2,Seasonality zoo,Changer status (0/1),Seasonality natural habitat,Seasonality zoo, Changer category (0/1/2),r-vector,Birth peak breadth,N
Papio cynocephalus,11900,1.9,14.95,173,1.01,16,1,0,-5.96,25.91,23.04,86.42,4,5,5,0,2,3,1,0.14,265,118
Papio hamadryas,9900,1.71,17.37,180,1.01,28,1,0,12.72,9.39,21.61,45.94,4,2,5,0,2,3,1,NA,275,4961
Papio papio,12000,1.92,32.5,184.4,1.01,23,1,0,10.83,4.65,26.32,170.11,4,,5,0,2,3,1,NA,275,1050
Papio ursinus,14800,2.01,9.12,185.9,1.01,16,1,0,-24.42,20.82,18.46,41.9,3,,5,1,2,3,1,0.42,250,82
Perodicticus potto,835,0.96,0.11,193,1.09,0,0,0,1.77,25.94,24.38,139,2,4,5,1,1,3,2,0.77,270,117
Pithecia pithecia,1512,1.03,0.04,161.1,1.01,9,0,0,2.92,11.88,25.42,156.99,3,4,4,0,2,2,0,NA,270,1316
Plecturocebus cupreus,825,1.33,0.25,129.3,1.01,8,0,0,-6.58,8.17,25.54,196.01,3,,4,0,2,2,0,NA,260,175
Plecturocebus donacophilus,909,1.09,0.1,126,1.02,30,0,0,-15.87,10.84,24.43,108.93,NA,,3,NA,NA,3,NA,NA,180,215
Pongo pygmaeus,35800,2.19,3.88,259.4,1.07,48,0,0,1.33,8.01,23.77,258.7,4,,5,0,2,3,1,NA,285,1655
Propithecus coquereli,3750,0.99,0.08,141,1,48,0,1,-15.49,1.84,25.14,134.79,1,,3,1,1,2,1,NA,115,158
Propithecus verreauxi*,3150,0.9,0.03,149.8,1.02,53,0,1,-22.63,5.9,23.54,58.13,1,2,2,0,1,3,0,0.967a,95,63
Pygathrix nemaeus,7000,1.4,0.36,182.9,1.01,73,0,0,16.63,5.84,22.54,189.53,3,4,5,1,2,3,1,NA,275,264
Saguinus bicolor,430,1,0.56,158.2,2,0,0,0,-1.74,2.89,26.22,129.99,4,,5,0,2,3,1,NA,275,602
Saguinus fuscicollis,401,0.96,0.2,148,1.83,0,0,0,-5.28,16.93,25.45,196.8,4,,4,0,2,2,0,0.63,260,1163
Saguinus geoffroyi,507,0.96,0.16,142,1.97,4,0,0,6.88,5.51,25.93,279.43,4,,5,0,2,3,1,NA,265,592
Saguinus imperator,446,0.93,0.22,143,2,0,0,0,-9.23,4.8,24.94,212.79,2,3,4,1,1,2,1,NA,270,2588
